1.832 & 5.937e-14 & 1.66e+34 & 2.018e+23 & 3.102e+22 & 2.714e+22 \\
3.389 & 1.098e-13 & 6.82e+33 & 3.686e+23 & 1.989e+22 & 1.863e+22 \\
0.1473 & 4.773e-15 & 4.06e+35 & 1.119e+24 & 8.467e+22 & 2.713e+22 \\
0.06486 & 2.102e-15 & 5.518e+35 & 4.925e+23 & 1.757e+23 & 1.481e+23 \\
0.1664 & 5.391e-15 & 4.373e+35 & 1.263e+24 & 1.794e+23 & 1.498e+23 \\
0.02277 & 7.379e-16 & 1.113e+35 & 2.843e+22 & 2.29e+23 & 1.845e+23 \\
0.4851 & 1.572e-14 & 2.976e+34 & 1.161e+23 & 1.413e+22 & 1.1e+22 \\
1.458 & 4.724e-14 & 1.818e+33 & 4.393e+22 & 4.155e+22 & 4.147e+22 \\
0.2289 & 7.417e-15 & 2.47e+34 & 2.319e+22 & 4.176e+22 & 3.691e+22 \\
1.152 & 3.734e-14 & 1.736e+34 & 1.128e+23 & 3.835e+22 & 3.595e+22 \\
1.41 & 4.568e-14 & 1.395e+34 & 2.144e+23 & 1.789e+22 & 9.3e+21 \\
0.07186 & 2.329e-15 & 5.146e+35 & 5.457e+23 & 1.448e+23 & 8.342e+22 \\
0.2166 & 7.02e-15 & 4.877e+35 & 1.645e+24 & 3.699e+23 & 2.569e+23 \\
