4.294e+19 \\
8.094e+19 \\
8.461e+19 \\
4.167e+19 \\
2.518e+19 \\
2.303e+19 \\
2.006e+19 \\
2.058e+19 \\
2.068e+19 \\
3.202e+19 \\
6.242e+19 \\
2.77e+19 \\
2.71e+19 \\
4.129e+19 \\
3.484e+19 \\
2.488e+19 \\
2.115e+19 \\
2.038e+19 \\
2.488e+19 \\
1.051e+19 \\
1.308e+19 \\
2.496e+19 \\
4.163e+19 \\
4.169e+19 \\
5.691e+19 \\
3.878e+19 \\
1.611e+19 \\
9.771e+18 \\
1.082e+19 \\
2.346e+19 \\
3.335e+19 \\
4.439e+19 \\
2.428e+19 \\
2.397e+19 \\
1.738e+19 \\
2.153e+19 \\
1.708e+19 \\
2.013e+19 \\
1.496e+19 \\
2.373e+19 \\
1.433e+19 \\
1.268e+19 \\
1.438e+19 \\
2.942e+19 \\
1.325e+19 \\
1.681e+19 \\
1.338e+19 \\
1.598e+19 \\
1.746e+19 \\
1.869e+19 \\
1.651e+19 \\
1.622e+19 \\
1.399e+19 \\
2.021e+19 \\
1.964e+19 \\
1.805e+19 \\
3.118e+19 \\
2.608e+19 \\
2.854e+19 \\
1.688e+19 \\
1.984e+19 \\
2.41e+19 \\
3.213e+19 \\
2.613e+19 \\
