0.5526 \\
1.7 \\
2.635 \\
4.573 \\
3.614 \\
0.735 \\
2.122 \\
4.638 \\
0.4383 \\
8.529 \\
3.048 \\
2.524 \\
0.9718 \\
1.121 \\
0.8053 \\
1.762 \\
1.015 \\
1.696 \\
4.59 \\
1.107 \\
3.643 \\
4.49 \\
4.74 \\
2.518 \\
6.779 \\
4.559 \\
4.857 \\
2.946 \\
0.7201 \\
1.379 \\
1.549 \\
1.417 \\
1.306 \\
3.103 \\
5.402 \\
2.844 \\
1.695 \\
4.86 \\
10.6 \\
8.162 \\
4.698 \\
1.937 \\
3.273 \\
3.831 \\
1.909 \\
2.747 \\
2.795 \\
3.17 \\
1.376 \\
3.205 \\
3.593 \\
0.9807 \\
1.428 \\
3.191 \\
0.9525 \\
2.612 \\
1.797 \\
1.325 \\
1.14 \\
2.742 \\
5.964 \\
4.027 \\
2.538 \\
1.847 \\
3.302 \\
1.977 \\
0.9247 \\
2.304 \\
2.31 \\
1.978 \\
7.881 \\
3.902 \\
0.07192 \\
2.259 \\
3.303 \\
3.777 \\
1.902 \\
3.188 \\
3.295 \\
3.087 \\
3.252 \\
3.717 \\
2.451 \\
3.173 \\
1.259 \\
2.33 \\
5.093 \\
4.626 \\
4.13 \\
4.131 \\
4.021 \\
5.648 \\
0.2721 \\
6.148 \\
2.167 \\
2.43 \\
1.808 \\
4.065 \\
5.987 \\
5.419 \\
1.748 \\
0.942 \\
6.261 \\
3.364 \\
0.6374 \\
2.658 \\
5.77 \\
4.87 \\
7.305 \\
5.008 \\
5.749 \\
4.799 \\
10.3 \\
5.301 \\
3.415 \\
5.462 \\
9.133 \\
8.193 \\
2.516 \\
3.551 \\
3.139 \\
7.666 \\
8.602 \\
4.405 \\
9.804 \\
4.11 \\
1.979 \\
2.967 \\
1.452 \\
5.968 \\
6.016 \\
0.9154 \\
2.946 \\
3.298 \\
6.73 \\
3.435 \\
3.054 \\
5.708 \\
2.808 \\
2.58 \\
7.523 \\
10.61 \\
5.302 \\
2.435 \\
2.529 \\
3.638 \\
9.335 \\
5.977 \\
4.326 \\
2.752 \\
2.429 \\
4.343 \\
3.019 \\
3.587 \\
3.023 \\
5.557 \\
4.802 \\
8.89 \\
11.06 \\
2.801 \\
4.592 \\
4.068 \\
2.681 \\
2.742 \\
4.651 \\
3.505 \\
2.76 \\
3.325 \\
2.559 \\
2.22 \\
3.035 \\
4.537 \\
7.093 \\
1.686 \\
4.098 \\
6.768 \\
4.553 \\
3.365 \\
1.667 \\
2.148 \\
0.6127 \\
4.144 \\
0.4945 \\
4.503 \\
1.781 \\
4.627 \\
3.238 \\
5.076 \\
3.772 \\
1.31 \\
5.902 \\
2.861 \\
1.25 \\
2.989 \\
2.287 \\
1.285 \\
1.719 \\
4.577 \\
2.812 \\
3.791 \\
3.639 \\
0.2152 \\
5.675 \\
2.936 \\
1.526 \\
3.222 \\
7.032 \\
5.895 \\
3.455 \\
1.002 \\
2.263 \\
2.381 \\
2.409 \\
2.286 \\
2.01 \\
5.963 \\
3.034 \\
4.937 \\
6.036 \\
6.686 \\
5.073 \\
3.57 \\
3.604 \\
0.6775 \\
1.336 \\
0.6062 \\
2.739 \\
3.806 \\
0.839 \\
2.879 \\
4.778 \\
13.2 \\
5.394 \\
2.388 \\
1.165 \\
1.449 \\
4.324 \\
2.603 \\
2.338 \\
2.403 \\
3.178 \\
2.266 \\
1.789 \\
1.878 \\
5.379 \\
2.822 \\
3.031 \\
2.201 \\
6.292 \\
1.536 \\
6.036 \\
5.175 \\
5.129 \\
0.6524 \\
3.007 \\
1.619 \\
