0.1432 & 4.639e-15 & 5.674e+35 & 1.087e+24 & 3.623e+23 & 3.521e+23 \\
0.2522 & 8.172e-15 & 3.429e+35 & 1.915e+24 & 1.393e+23 & 1.352e+23 \\
0.162 & 5.25e-15 & 1.232e+34 & 1.426e+22 & 2.902e+22 & 1.756e+22 \\
1.382 & 4.48e-14 & 1.416e+34 & 2.577e+23 & 4.966e+22 & 3.449e+22 \\
0.2996 & 9.707e-15 & 5.002e+34 & 1.388e+23 & 1.182e+22 & 9.55e+21 \\
1.426 & 4.62e-14 & 1.553e+34 & 2.954e+23 & 1.047e+23 & 4.963e+22 \\
0.5937 & 1.924e-14 & 5.843e+34 & 3.6e+23 & 3.119e+22 & 2.698e+22 \\
0.03727 & 1.208e-15 & 1.539e+35 & 4.773e+22 & 2.345e+23 & 2.054e+23 \\
1.282 & 4.154e-14 & 1.039e+34 & 1.527e+23 & 1.76e+22 & 1.755e+22 \\
0.1112 & 3.603e-15 & 4.559e+35 & 8.444e+23 & 3.392e+23 & 1.928e+23 \\
0.3237 & 1.049e-14 & 4.577e+35 & 2.458e+24 & 3.247e+23 & 2.856e+23 \\
0.2843 & 9.213e-15 & 4.999e+35 & 2.159e+24 & 2.49e+23 & 2.405e+23 \\
