0.1871 & 6.064e-15 & 5.674e+35 & 1.421e+24 & 3.623e+23 & 1.165e+23 \\
0.1806 & 5.852e-15 & 3.429e+35 & 1.371e+24 & 1.393e+23 & 1.128e+23 \\
0.7816 & 2.533e-14 & 1.232e+34 & 7.691e+22 & 2.902e+22 & 2.803e+22 \\
2.37 & 7.681e-14 & 1.416e+34 & 3.682e+23 & 4.966e+22 & 4.817e+22 \\
0.5944 & 1.926e-14 & 5.002e+34 & 1.545e+23 & 1.182e+22 & 6.995e+21 \\
4.956 & 1.606e-13 & 1.553e+34 & 9.332e+23 & 1.047e+23 & 1.042e+23 \\
1.983 & 6.424e-14 & 5.843e+34 & 6.795e+23 & 3.119e+22 & 2.03e+22 \\
0.361 & 1.17e-14 & 1.539e+35 & 2.658e+23 & 2.345e+23 & 2.319e+23 \\
0.2901 & 9.401e-15 & 1.039e+34 & 1.352e+22 & 1.76e+22 & 1.441e+22 \\
0.2892 & 9.371e-15 & 4.559e+35 & 2.196e+24 & 3.392e+23 & 3.249e+23 \\
0.2447 & 7.93e-15 & 4.577e+35 & 1.858e+24 & 3.247e+23 & 1.555e+23 \\
0.2197 & 7.119e-15 & 4.999e+35 & 1.668e+24 & 2.49e+23 & 2.268e+23 \\
